h3_index,geometry,borough,population,n_cafe,n_restaurant,n_pub,n_fast_food,n_gym,n_bakery,n_supermarket,n_office,n_library,n_university,n_station,nearby_cafe,nearby_restaurant,nearby_pub,nearby_fast_food,nearby_gym,nearby_bakery,n_competitors,n_synergy,n_anchors,n_other,employed_total_perc,age_16_to_34_perc,level4_perc,retired_perc,no_qualifications_perc,antisocial_behaviour_count,property_crime_count,violent_crime_count,total_crime,violent_crime_log1p,property_crime_log1p,antisocial_behaviour_log1p,total_crime_log1p,dist_to_nearest_station,dist_to_nearest_station_log,station_count_800m,bus_stop_count,bus_stop_count_log,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coeff,eigenvector_centrality,pagerank,community_id,node2vec_dim0,node2vec_dim1,node2vec_dim2,has_cafe,has_restaurant,has_pub,has_fast_food,has_gym,has_bakery,has_coffee_shop,shap_drivers_cafe,shap_drivers_restaurant,shap_drivers_pub,shap_drivers_fast_food,shap_drivers_gym,shap_drivers_bakery,predicted_prob_cafe,predicted_cafe,outcome_cafe,predicted_prob_restaurant,predicted_restaurant,outcome_restaurant,predicted_prob_pub,predicted_pub,outcome_pub,predicted_prob_fast_food,predicted_fast_food,outcome_fast_food,predicted_prob_gym,predicted_gym,outcome_gym,predicted_prob_bakery,predicted_bakery,outcome_bakery,outcome,predicted_prob,predicted,actual,expansion_cafe,expansion_restaurant,expansion_pub,expansion_fast_food,expansion_gym,expansion_bakery,rec_tier_cafe,rec_tier_restaurant,rec_tier_pub,rec_tier_fast_food,rec_tier_gym,rec_tier_bakery,deprivation_quintile,demand_index,site_score,latitude,longitude
89195da444fffff,"POLYGON ((-0.1958635068293814 51.60176658130408, -0.197958474760432 51.60078641609757, -0.1975216400506997 51.59904029713594, -0.1949899947433724 51.59827436370495, -0.1928951212620004 51.59925450820489, -0.1933317986386301 51.60100060684097, -0.1958635068293814 51.60176658130408))",Barnet,812.6159057617188,4,5,2,0,0,0,1,1,1,0,0,9,6,2,1,3,0,4,9,0,1,68.96551724137932,34.45187098080913,63.83440217573785,4.13793103448276,12.554723611903864,31,66,87,184,4.477336814478207,4.204692619390966,3.4657359027997265,5.220355825078324,233.66720682993915,5.45816836931941,1,4,1.6094379124341003,0.00035528185693983896,0.0043851881865961916,0.015876926141372566,0.4,0.007865674861121297,5.9213116739668365e-05,21,-2.219004,12.159521,4.810423,1,1,1,0,0,0,1,"[{'feature': 'n_restaurant', 'shap': 1.4927}, {'feature': 'n_supermarket', 'shap': 0.5049}, {'feature': 'n_pub', 'shap': 0.4932}]","[{'feature': 'n_cafe', 'shap': 1.4878}, {'feature': 'n_pub', 'shap': 0.9715}, {'feature': 'n_fast_food', 'shap': -0.3332}]","[{'feature': 'n_restaurant', 'shap': 1.1621}, {'feature': 'n_cafe', 'shap': 0.8017}, {'feature': 'bus_stop_count_log', 'shap': 0.2919}]","[{'feature': 'n_restaurant', 'shap': 1.2222}, {'feature': 'n_cafe', 'shap': 0.9941}, {'feature': 'violent_crime_log1p', 'shap': 0.6284}]","[{'feature': 'n_cafe', 'shap': 0.6169}, {'feature': 'n_restaurant', 'shap': 0.4349}, {'feature': 'n_library', 'shap': 0.3496}]","[{'feature': 'n_restaurant', 'shap': 1.1336}, {'feature': 'n_cafe', 'shap': 0.846}, {'feature': 'n_fast_food', 'shap': -0.3637}]",0.97606987,1,Expansion Opportunity,0.9741926,1,Expansion Opportunity,0.9052978,1,Expansion Opportunity,0.98885196,1,False Positive (Recommendation),0.9193373,1,False Positive (Recommendation),0.92126125,1,False Positive (Recommendation),Expansion Opportunity,0.97606987,1,1,True,True,True,False,False,False,,,,Prime Location,Strong Recommend,Strong Recommend,2.0,0.6383440217573785,503.7285054279504,51.6000204746866,-0.1954267658428762
89194e618b3ffff,"POLYGON ((0.2171071747551195 51.56462529375335, 0.215013958589872 51.56365355653389, 0.2154363347409214 51.561908529565905, 0.2179517704255742 51.56113526097131, 0.2200448906683776 51.56210697816264, 0.2196226711484666 51.56385198397527, 0.2171071747551195 51.56462529375335))",Havering,1007.1807861328125,1,2,3,0,1,0,3,0,0,0,0,0,12,3,7,1,0,1,6,0,3,0.0,0.0,0.0,0.0,0.0,17,120,76,213,4.343805421853684,4.795790545596741,2.8903717578961645,5.365976015021851,663.5181161069049,6.499062140546019,1,2,1.0986122886681098,0.00035528185693983896,0.0024616887458969055,0.011134637095112353,0.4,0.007865674861121297,5.9213116739668365e-05,33,-12.907802,3.6145937,-0.37785196,1,1,1,0,1,0,1,"[{'feature': 'n_restaurant', 'shap': 1.3951}, {'feature': 'n_supermarket', 'shap': 0.6558}, {'feature': 'n_pub', 'shap': 0.544}]","[{'feature': 'n_pub', 'shap': 1.0549}, {'feature': 'n_cafe', 'shap': 0.7565}, {'feature': 'n_supermarket', 'shap': 0.3504}]","[{'feature': 'n_restaurant', 'shap': 0.7369}, {'feature': 'n_cafe', 'shap': 0.3671}, {'feature': 'population', 'shap': 0.2357}]","[{'feature': 'n_restaurant', 'shap': 0.9749}, {'feature': 'violent_crime_log1p', 'shap': 0.5642}, {'feature': 'n_cafe', 'shap': 0.5241}]","[{'feature': 'n_restaurant', 'shap': 0.569}, {'feature': 'property_crime_log1p', 'shap': 0.4853}, {'feature': 'population', 'shap': 0.4354}]","[{'feature': 'n_restaurant', 'shap': 0.7378}, {'feature': 'node2vec_dim0', 'shap': -0.6417}, {'feature': 'n_fast_food', 'shap': -0.3477}]",0.9399875,1,Expansion Opportunity,0.950307,1,Expansion Opportunity,0.8249683,1,Expansion Opportunity,0.986876,1,False Positive (Recommendation),0.86030155,1,Expansion Opportunity,0.7364284,0,True Negative,Expansion Opportunity,0.9399875,1,1,True,True,True,False,True,False,,,,Competitive,,,1.0,0.0,15.0,51.56288027961252,0.217529456835135
89194ad0607ffff,"POLYGON ((-0.0663023971222235 51.475235296328, -0.068392623985029 51.474255739348024, -0.0679611979860582 51.47250837957616, -0.0654397016107212 51.471740597462855, -0.0633495692829604 51.472720133966845, -0.0637808387958896 51.47446747305871, -0.0663023971222235 51.475235296328))",Southwark,1054.8798828125,3,2,3,0,0,0,0,0,0,0,1,15,31,24,29,5,1,3,5,1,0,59.72633979475485,37.17531998166149,45.81064447988455,7.3204104903078635,18.067456058241447,36,61,81,178,4.406719247264253,4.127134385045092,3.6109179126442243,5.187385805840755,96.96946547422085,4.584655853326773,3,7,2.0794415416798357,0.00035528185693983896,0.008110480779482843,0.01867028152388863,0.4,0.007865674861121297,5.9213116739668365e-05,23,-11.772404,4.1305227,1.0790575,1,1,1,0,0,0,1,"[{'feature': 'n_restaurant', 'shap': 1.0417}, {'feature': 'dist_to_nearest_station_log', 'shap': 1.0073}, {'feature': 'n_pub', 'shap': 0.4855}]","[{'feature': 'n_cafe', 'shap': 1.3796}, {'feature': 'n_pub', 'shap': 1.1166}, {'feature': 'bus_stop_count_log', 'shap': 0.4036}]","[{'feature': 'n_restaurant', 'shap': 0.7494}, {'feature': 'n_cafe', 'shap': 0.4825}, {'feature': 'nearby_pub', 'shap': 0.4794}]","[{'feature': 'n_restaurant', 'shap': 1.1185}, {'feature': 'n_cafe', 'shap': 0.9676}, {'feature': 'violent_crime_log1p', 'shap': 0.747}]","[{'feature': 'n_cafe', 'shap': 0.5232}, {'feature': 'n_restaurant', 'shap': 0.3596}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.3032}]","[{'feature': 'n_restaurant', 'shap': 0.6549}, {'feature': 'n_cafe', 'shap': 0.4907}, {'feature': 'n_fast_food', 'shap': -0.292}]",0.9494891,1,Expansion Opportunity,0.964522,1,True Positive,0.9135917,1,True Positive,0.986375,1,False Positive (Recommendation),0.82304215,1,False Positive (Recommendation),0.80027604,0,True Negative,Expansion Opportunity,0.9494891,1,1,True,False,False,False,False,False,,,,Competitive,Viable,,3.0,0.4581064447988455,466.24727280505715,51.47348794907325,-0.06587106461167103
89195da4bc7ffff,"POLYGON ((-0.1765869072744698 51.515200274957365, -0.1786786859453046 51.51421899956777, -0.1782431747267332 51.512471764196334, -0.1757160416719731 51.51170582464655, -0.173624357239943 51.51268707937511, -0.174059711624215 51.51443429431307, -0.1765869072744698 51.515200274957365))",City of Westminster,2402.7294921875,7,12,3,0,1,1,0,0,0,0,0,45,64,27,34,3,8,7,16,0,1,57.834627683873926,50.372970466335325,69.31087964843495,7.720420283234353,7.543082862612463,57,106,84,247,4.442651256490317,4.672828834461906,4.060443010546419,5.5134287461649825,188.82331820876496,5.2460937353669905,5,3,1.3862943611198906,0.00035528185693983896,0.008379575512859963,0.018690347518280966,0.4,0.007865674861121297,5.9213116739668365e-05,9,-5.543087,10.817784,5.9633126,1,1,1,0,1,1,1,"[{'feature': 'n_restaurant', 'shap': 1.2797}, {'feature': 'n_bakery', 'shap': 0.6108}, {'feature': 'n_pub', 'shap': 0.5335}]","[{'feature': 'n_cafe', 'shap': 1.4539}, {'feature': 'n_pub', 'shap': 1.0189}, {'feature': 'n_bakery', 'shap': 0.6364}]","[{'feature': 'n_restaurant', 'shap': 1.2755}, {'feature': 'n_cafe', 'shap': 0.8485}, {'feature': 'nearby_pub', 'shap': 0.5726}]","[{'feature': 'n_restaurant', 'shap': 1.3205}, {'feature': 'n_cafe', 'shap': 1.1377}, {'feature': 'violent_crime_log1p', 'shap': 0.7959}]","[{'feature': 'n_cafe', 'shap': 0.6477}, {'feature': 'n_restaurant', 'shap': 0.4411}, {'feature': 'property_crime_log1p', 'shap': 0.3728}]","[{'feature': 'n_restaurant', 'shap': 1.1525}, {'feature': 'n_cafe', 'shap': 1.0056}, {'feature': 'property_crime_log1p', 'shap': 0.3324}]",0.9835698,1,True Positive,0.99146795,1,True Positive,0.98275155,1,True Positive,0.98516405,1,False Positive (Recommendation),0.93943167,1,Expansion Opportunity,0.94921714,1,True Positive,True Positive,0.9835698,1,1,False,False,False,False,True,False,,,,Competitive,,,2.0,0.6931087964843495,1640.3529466075304,51.513453051968575,-0.17615148953972523
89194ad3277ffff,"POLYGON ((-0.1139517231025057 51.50750087840897, -0.1160431706673759 51.506520844188714, -0.1156098666885679 51.50477374174477, -0.1130852718643172 51.50400669408105, -0.1109939187565237 51.504986707742965, -0.1114270660163114 51.50673378962549, -0.1139517231025057 51.50750087840897))",Lambeth,3542.00927734375,3,5,2,0,1,0,0,0,2,2,0,72,106,61,50,4,6,3,12,0,0,39.41814033086136,62.599344842189666,44.33161990031136,7.244723331431829,6.4661418808195075,30,206,160,396,5.081404364984463,5.332718793265369,3.4339872044851463,5.983936280687191,307.84555077283625,5.732841316251633,8,7,2.0794415416798357,0.00035528185693983896,0.008607348651658233,0.019183666117430533,0.4,0.007865674861121297,5.9213116739668365e-05,20,-9.108496,8.374282,5.3944855,1,1,1,0,1,0,1,"[{'feature': 'n_restaurant', 'shap': 1.3971}, {'feature': 'nearby_cafe', 'shap': 0.4679}, {'feature': 'n_pub', 'shap': 0.4404}]","[{'feature': 'n_cafe', 'shap': 1.2443}, {'feature': 'n_pub', 'shap': 0.964}, {'feature': 'population', 'shap': 0.5319}]","[{'feature': 'n_restaurant', 'shap': 1.1187}, {'feature': 'nearby_pub', 'shap': 0.9127}, {'feature': 'n_cafe', 'shap': 0.5591}]","[{'feature': 'n_restaurant', 'shap': 1.2629}, {'feature': 'n_cafe', 'shap': 1.0245}, {'feature': 'violent_crime_log1p', 'shap': 0.7421}]","[{'feature': 'n_cafe', 'shap': 0.5295}, {'feature': 'property_crime_log1p', 'shap': 0.5088}, {'feature': 'n_restaurant', 'shap': 0.4139}]","[{'feature': 'n_restaurant', 'shap': 1.0092}, {'feature': 'n_cafe', 'shap': 0.4517}, {'feature': 'n_fast_food', 'shap': -0.3163}]",0.98168254,1,True Positive,0.9800658,1,True Positive,0.9802885,1,True Positive,0.9840333,1,False Positive (Recommendation),0.93266684,1,Expansion Opportunity,0.69791484,0,True Negative,True Positive,0.98168254,1,1,False,False,False,False,True,False,,,,Competitive,,,2.0,0.4433161990031136,1585.2300896657964,51.505753788421295,-0.11351851265562318
89194ad1e1bffff,"POLYGON ((-0.1276946182262056 51.44057704775952, -0.1297836308662928 51.4395955279482, -0.1293503628841695 51.437847460358554, -0.1268282386310927 51.437080933167614, -0.1247393201740009 51.43806243240876, -0.1251724317873817 51.439810479409616, -0.1276946182262056 51.44057704775952))",Lambeth,887.4381103515625,2,2,1,0,0,0,1,0,0,0,1,12,9,5,8,5,1,2,3,1,1,69.32126696832583,38.292129325346515,59.775297215677575,7.262443438914029,11.424522178162965,20,95,73,188,4.30406509320417,4.564348191467836,3.044522437723423,5.241747015059643,66.56175642422409,4.213042089591949,1,8,2.1972245773362196,0.00035528185693983896,0.007539127161235414,0.017786569653931505,0.4,0.007865674861121297,5.9213116739668365e-05,17,-10.894157,1.9107529,-4.653533,1,1,1,0,0,0,1,"[{'feature': 'n_restaurant', 'shap': 1.1311}, {'feature': 'dist_to_nearest_station_log', 'shap': 0.9702}, {'feature': 'n_supermarket', 'shap': 0.5277}]","[{'feature': 'n_cafe', 'shap': 1.2022}, {'feature': 'n_pub', 'shap': 0.4559}, {'feature': 'bus_stop_count_log', 'shap': 0.4112}]","[{'feature': 'n_restaurant', 'shap': 0.8269}, {'feature': 'n_cafe', 'shap': 0.5146}, {'feature': 'bus_stop_count_log', 'shap': 0.3019}]","[{'feature': 'n_restaurant', 'shap': 1.0156}, {'feature': 'n_cafe', 'shap': 0.8056}, {'feature': 'violent_crime_log1p', 'shap': 0.5653}]","[{'feature': 'property_crime_log1p', 'shap': 0.3793}, {'feature': 'n_restaurant', 'shap': 0.3489}, {'feature': 'nearby_gym', 'shap': 0.2782}]","[{'feature': 'n_restaurant', 'shap': 0.7047}, {'feature': 'n_cafe', 'shap': 0.485}, {'feature': 'n_fast_food', 'shap': -0.303}]",0.96582663,1,Expansion Opportunity,0.894206,1,Expansion Opportunity,0.9134393,1,Expansion Opportunity,0.9830904,1,False Positive (Recommendation),0.8818362,1,False Positive (Recommendation),0.77506256,0,True Negative,Expansion Opportunity,0.96582663,1,1,True,True,True,False,False,False,,,,Competitive,Viable,,2.0,0.5977529721567758,518.4687680678393,51.438828992622575,-0.12726144355907446
89194ad3453ffff,"POLYGON ((-0.0772326405477188 51.538335590020026, -0.0793251869952715 51.537356909399364, -0.0788929090426888 51.53561036939431, -0.0763682414879976 51.53484253061614, -0.0742757897421699 51.53582119073308, -0.074707910849706 51.5375677101305, -0.0772326405477188 51.538335590020026))",Hackney,2050.716064453125,2,5,5,0,0,1,0,2,0,0,0,25,29,19,14,7,1,2,12,0,1,71.64093767867355,42.03059694443631,65.51125221760591,4.3453401943968,9.897767303824937,34,210,122,366,4.812184355372417,5.351858133476067,3.5553480614894135,5.905361848054571,245.08458418177355,5.505675314970868,2,2,1.0986122886681098,0.00035528185693983896,0.008505568729929877,0.018602857806142535,0.4,0.007865674861121297,5.9213116739668365e-05,13,-8.688916,9.225205,5.8647976,1,1,1,0,0,1,1,"[{'feature': 'n_restaurant', 'shap': 1.3263}, {'feature': 'n_bakery', 'shap': 0.5775}, {'feature': 'n_pub', 'shap': 0.5503}]","[{'feature': 'n_cafe', 'shap': 1.1453}, {'feature': 'n_pub', 'shap': 1.0359}, {'feature': 'n_bakery', 'shap': 0.6414}]","[{'feature': 'n_restaurant', 'shap': 1.0428}, {'feature': 'n_cafe', 'shap': 0.4727}, {'feature': 'nearby_pub', 'shap': 0.3337}]","[{'feature': 'n_restaurant', 'shap': 1.2602}, {'feature': 'n_cafe', 'shap': 0.8367}, {'feature': 'violent_crime_log1p', 'shap': 0.7587}]","[{'feature': 'property_crime_log1p', 'shap': 0.4111}, {'feature': 'n_restaurant', 'shap': 0.3816}, {'feature': 'n_cafe', 'shap': 0.2956}]","[{'feature': 'n_restaurant', 'shap': 1.0282}, {'feature': 'n_cafe', 'shap': 0.5273}, {'feature': 'property_crime_log1p', 'shap': 0.3803}]",0.98168486,1,True Positive,0.982672,1,True Positive,0.9544545,1,True Positive,0.98170704,1,False Positive (Recommendation),0.8778722,1,False Positive (Recommendation),0.8998475,1,Expansion Opportunity,True Positive,0.98168486,1,1,False,False,False,False,False,True,,,,Competitive,Competitive,,2.0,0.6551125221760592,1373.4497732508487,51.53658906250783,-0.07680045626162423
89194ad9eb3ffff,"POLYGON ((-0.3369998530214469 51.427976967356116, -0.3390885541770634 51.42699062366705, -0.3386482098517529 51.425241595265, -0.3361193209105171 51.42447893074205, -0.3340307130807335 51.42546525352495, -0.334470900866655 51.42721426173553, -0.3369998530214469 51.427976967356116))",Richmond upon Thames,842.9334716796875,10,4,2,0,1,3,1,0,0,0,0,13,11,10,6,3,1,10,7,0,4,0.0,0.0,0.0,0.0,0.0,27,73,35,135,3.58351893845611,4.30406509320417,3.332204510175204,4.912654885736052,339.49040795606675,5.830386954726007,1,2,1.0986122886681098,0.00035528185693983896,0.0025495078850549593,0.013175080527638052,0.4,0.007865674861121297,5.9213116739668365e-05,25,1.7785031,9.015158,-10.648292,1,1,1,0,1,1,1,"[{'feature': 'n_restaurant', 'shap': 1.5411}, {'feature': 'n_bakery', 'shap': 0.6687}, {'feature': 'n_supermarket', 'shap': 0.6253}]","[{'feature': 'n_cafe', 'shap': 1.47}, {'feature': 'n_pub', 'shap': 0.9173}, {'feature': 'n_bakery', 'shap': 0.7568}]","[{'feature': 'n_restaurant', 'shap': 1.0752}, {'feature': 'n_cafe', 'shap': 0.7964}, {'feature': 'nearby_pub', 'shap': 0.2336}]","[{'feature': 'n_restaurant', 'shap': 1.168}, {'feature': 'n_cafe', 'shap': 0.9839}, {'feature': 'n_supermarket', 'shap': 0.3966}]","[{'feature': 'n_cafe', 'shap': 0.6404}, {'feature': 'n_restaurant', 'shap': 0.5262}, {'feature': 'property_crime_log1p', 'shap': 0.255}]","[{'feature': 'n_restaurant', 'shap': 1.0424}, {'feature': 'n_cafe', 'shap': 0.9274}, {'feature': 'n_fast_food', 'shap': -0.3743}]",0.9780637,1,Expansion Opportunity,0.98892653,1,Expansion Opportunity,0.9606321,1,Expansion Opportunity,0.9785938,1,False Positive (Recommendation),0.84345806,1,Expansion Opportunity,0.88544506,1,Expansion Opportunity,Expansion Opportunity,0.9780637,1,1,True,True,True,False,True,True,,,,Competitive,,,1.0,0.0,-115.0,51.42622795116793,-0.3365596017329033
89195da6c0bffff,"POLYGON ((-0.1011175716016594 51.58757589714298, -0.1032119450973864 51.58659756393128, -0.1027784734788024 51.58485160808621, -0.1002507855091907 51.58408400597257, -0.09815650678594 51.585062318633646, -0.0985898212602381 51.58680825395756, -0.1011175716016594 51.58757589714298))",Haringey,931.7901000976562,6,4,1,0,0,0,1,0,0,0,0,27,36,8,26,3,10,6,5,0,1,62.90630975143404,33.799554355698696,50.53934133499299,9.942638623326944,19.27979253873205,22,89,73,184,4.30406509320417,4.499809670330265,3.1354942159291497,5.220355825078324,472.10953843384243,6.1593269439934515,3,3,1.3862943611198906,0.00035528185693983896,0.006185160501112395,0.016936521703455047,0.4,0.007865674861121297,5.9213116739668365e-05,21,-4.733779,11.438953,5.8742757,1,1,1,0,0,0,1,"[{'feature': 'n_restaurant', 'shap': 1.4608}, {'feature': 'n_pub', 'shap': 0.5028}, {'feature': 'n_supermarket', 'shap': 0.4721}]","[{'feature': 'n_cafe', 'shap': 1.5266}, {'feature': 'n_supermarket', 'shap': 0.4657}, {'feature': 'n_pub', 'shap': 0.3882}]","[{'feature': 'n_restaurant', 'shap': 0.981}, {'feature': 'n_cafe', 'shap': 0.8343}, {'feature': 'no_qualifications_perc', 'shap': -0.3176}]","[{'feature': 'n_restaurant', 'shap': 1.1609}, {'feature': 'n_cafe', 'shap': 1.0804}, {'feature': 'violent_crime_log1p', 'shap': 0.6407}]","[{'feature': 'n_cafe', 'shap': 0.5885}, {'feature': 'n_restaurant', 'shap': 0.3924}, {'feature': 'property_crime_log1p', 'shap': 0.3771}]","[{'feature': 'n_restaurant', 'shap': 0.9738}, {'feature': 'n_cafe', 'shap': 0.8529}, {'feature': 'n_fast_food', 'shap': -0.3224}]",0.92949647,1,True Positive,0.96263784,1,True Positive,0.90220964,1,Expansion Opportunity,0.97805744,1,False Positive (Recommendation),0.8423505,1,False Positive (Recommendation),0.9132192,1,False Positive (Recommendation),True Positive,0.92949647,1,1,False,False,True,False,False,False,,,,Competitive,Viable,Competitive,3.0,0.5053934133499299,405.9205792140274,51.585829953753986,-0.10068419377159407
